City ID,City,Country,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
209,Cabo San Lucas,MX,22.8909,-109.9124,96.51,63,1,3.0,clear sky
210,Chuy,UY,-33.6971,-53.4616,46.0,73,0,5.99,clear sky
211,Taganak,PH,6.0833,118.3,77.14,80,63,5.39,broken clouds
212,Barraute,CA,48.4335,-77.6328,62.87,40,16,9.51,few clouds
213,Wellingborough,GB,52.3027,-0.6945,59.29,94,49,11.59,scattered clouds
214,Gagra,GE,43.3283,40.2239,68.92,80,0,4.85,clear sky
215,Khandyga,RU,62.6667,135.6,61.05,48,21,1.39,few clouds
216,Samarai,PG,-10.6167,150.6667,79.77,76,95,19.15,overcast clouds
217,Norman Wells,CA,65.282,-126.8329,82.44,32,20,4.61,few clouds
218,Mumford,GH,5.2618,-0.759,75.92,89,100,9.62,overcast clouds
219,Antalaha,MG,-14.9003,50.2788,66.16,91,32,7.63,light rain
220,Sao Tome,ST,0.3365,6.7273,76.71,81,32,8.52,scattered clouds
221,Adrar,MR,20.5022,-10.0711,98.06,20,76,7.74,broken clouds
222,Mehamn,NO,71.0357,27.8492,46.67,84,99,8.16,overcast clouds
223,Goderich,CA,43.7501,-81.7165,66.04,55,0,12.66,clear sky
224,Bernalillo,US,35.05,-106.6673,91.06,27,75,3.0,broken clouds
225,Ambanja,MG,-13.6833,48.45,67.35,71,4,3.53,clear sky
226,Tevriz,RU,57.509,72.4042,55.13,99,100,4.52,moderate rain
227,Itoman,JP,26.1247,127.6694,84.22,92,75,4.61,broken clouds
228,Isangel,VU,-19.55,169.2667,75.31,60,75,16.11,broken clouds
229,Ilula,TZ,-7.6766,36.0366,58.08,57,2,10.45,clear sky
230,Lillooet,CA,50.6856,-121.942,95.72,12,0,1.79,clear sky
231,Souillac,MU,-20.5167,57.5167,70.18,64,40,12.66,scattered clouds
232,Oussouye,SN,12.485,-16.5469,73.58,84,96,10.63,moderate rain
233,Kargasok,RU,59.0556,80.8572,49.41,93,63,7.4,broken clouds
234,Portland,US,45.5234,-122.6762,102.63,31,75,5.01,broken clouds
235,San Luis,AR,-33.295,-66.3356,52.39,28,0,7.92,clear sky
236,Ystad,SE,55.4297,13.8204,62.98,74,43,12.68,scattered clouds
237,Del Rio,US,29.3627,-100.8968,100.51,33,1,8.05,clear sky
238,Lebu,CL,-37.6167,-73.65,50.58,93,100,11.01,overcast clouds
239,Russell,US,32.3502,-85.1999,92.91,52,1,6.91,clear sky
240,Roswell,US,34.0232,-84.3616,92.57,65,20,8.05,thunderstorm
241,Kisangani,CD,0.5167,25.2,72.9,75,85,3.11,light rain
242,Kurilsk,RU,45.2333,147.8833,69.57,86,73,4.25,broken clouds
243,Kincardine,GB,56.0667,-3.7167,60.57,91,98,2.73,overcast clouds
244,Palmer,US,42.1584,-72.3287,76.68,48,40,3.0,scattered clouds
245,Saint-Philippe,RE,-21.3585,55.7679,69.39,76,75,16.06,light rain
246,Shu,KZ,43.5983,73.7614,67.23,39,0,4.29,clear sky
247,Vestmanna,FO,62.1564,-7.1664,45.52,93,75,16.11,broken clouds
248,Gujan-Mestras,FR,44.6333,-1.0667,59.47,88,0,2.3,clear sky
249,Thompson,CA,55.7435,-97.8558,75.36,35,40,14.97,scattered clouds
250,Esperance,AU,-33.8667,121.9,45.59,85,68,11.59,broken clouds
251,Alofi,NU,-19.0595,-169.9187,80.49,78,91,12.66,light rain
252,Aklavik,CA,68.2191,-135.0107,76.03,46,75,8.05,broken clouds
253,Naron,ES,43.5167,-8.1528,63.01,68,100,7.34,overcast clouds
254,Kavaratti,IN,10.5669,72.642,82.33,76,100,15.59,overcast clouds
255,Porto Novo,BJ,6.4965,2.6036,76.68,83,100,7.49,light rain
256,Narsaq,GL,60.9167,-46.05,61.02,70,100,3.13,overcast clouds
257,Shuangyang,CN,43.5242,125.6736,75.16,93,56,5.66,broken clouds
258,Kruisfontein,ZA,-34.0033,24.7314,51.48,76,7,7.09,clear sky
259,Freeport,US,40.6576,-73.5832,83.05,42,1,5.99,clear sky
260,Lorengau,PG,-2.0226,147.2712,83.01,73,52,3.36,broken clouds
261,Namibe,AO,-15.1961,12.1522,66.81,88,35,5.39,scattered clouds
262,Vilyuysk,RU,63.7553,121.6247,62.42,48,13,0.38,few clouds
263,Ishigaki,JP,24.3448,124.1572,82.53,89,75,9.22,broken clouds
264,Llano Largo,PA,7.9,-80.4333,84.85,69,96,4.38,overcast clouds
265,Arlit,NE,18.7369,7.3853,99.91,17,5,13.11,clear sky
266,Ancud,CL,-41.8697,-73.8203,45.93,74,3,8.43,clear sky
267,College,US,64.8569,-147.8028,69.75,58,75,8.05,broken clouds
268,Riachao Das Neves,BR,-11.7461,-44.91,79.79,29,24,3.78,few clouds
269,Molteno,ZA,-31.3968,26.3625,44.91,34,14,4.72,few clouds
270,Athabasca,CA,54.7169,-113.2854,82.22,22,3,5.37,clear sky
271,Hit,IQ,33.6416,42.8251,96.98,17,3,12.59,clear sky
272,Airai,TL,-8.9266,125.4092,56.64,72,57,2.55,broken clouds
273,Bilma,NE,18.6853,12.9164,96.3,28,4,10.94,clear sky
274,Richards Bay,ZA,-28.783,32.0377,59.67,87,0,5.91,clear sky
275,Ilulissat,GL,69.2167,-51.1,57.22,44,66,5.75,broken clouds
276,Belen,TR,36.4891,36.2233,75.34,74,0,17.27,clear sky
277,Deputatskiy,RU,69.3,139.9,60.22,39,90,7.34,overcast clouds
278,Torbay,CA,47.6666,-52.7314,64.27,68,90,17.27,overcast clouds
279,Sur,OM,22.5667,59.5289,90.66,55,98,17.4,overcast clouds
280,Nicoya,CR,10.1483,-85.452,90.95,66,14,3.38,few clouds
281,Amuntai,ID,-2.4177,115.2494,73.27,98,93,1.88,overcast clouds
282,Axim,GH,4.8699,-2.2405,76.35,87,75,6.26,broken clouds
283,Kasongo-Lunda,CD,-6.4667,16.8167,74.16,31,7,1.48,clear sky
284,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,54.19,100,90,8.95,light intensity shower rain
285,Siteki,SZ,-26.45,31.95,51.19,90,0,1.92,clear sky
286,Mnogovershinnyy,RU,53.9353,139.9242,47.01,95,100,5.26,overcast clouds
287,Cayenne,GF,4.9333,-52.3333,83.08,75,20,4.0,few clouds
288,Srednekolymsk,RU,67.45,153.6833,48.94,52,100,11.27,overcast clouds
289,Elbrus,RU,43.2577,42.6443,54.16,97,72,2.21,broken clouds
290,Marawi,PH,7.9986,124.2928,67.64,84,80,3.89,broken clouds
291,Port Blair,IN,11.6667,92.75,81.66,83,79,16.75,broken clouds
292,Egvekinot,RU,66.3167,-179.1667,36.27,95,100,4.29,overcast clouds
293,Mandurah,AU,-32.55,115.7,49.15,68,99,24.18,light rain
294,Calca,PE,-13.3333,-71.95,65.55,55,68,9.37,broken clouds
295,Broome,US,42.2506,-75.833,70.18,61,20,5.01,few clouds
296,Wicklow,IE,53.0,-6.4167,52.57,98,97,4.74,overcast clouds
297,Khandbari,NP,27.3747,87.2039,72.82,97,100,1.9,overcast clouds
298,Pacific Grove,US,36.6177,-121.9166,94.15,77,20,1.99,few clouds
299,Hambantota,LK,6.1241,81.1185,79.23,82,21,18.07,few clouds
300,Lumphat,KH,13.4878,106.9816,72.72,99,100,1.25,overcast clouds
301,Deniliquin,AU,-35.5333,144.9667,51.01,53,93,12.71,overcast clouds
302,Gerash,IR,27.6652,54.1371,90.41,36,44,1.03,scattered clouds
303,Baruun-Urt,MN,46.6806,113.2792,60.04,88,100,11.68,overcast clouds
304,Ketchikan,US,55.3422,-131.6461,73.87,56,1,6.91,clear sky
305,Hermiston,US,45.8404,-119.2895,109.2,18,1,11.5,clear sky
306,Amahai,ID,-3.3333,128.9167,76.8,87,75,3.29,broken clouds
307,Geraldton,AU,-28.7667,114.6,57.13,67,40,16.11,scattered clouds
308,Flin Flon,CA,54.7682,-101.865,78.64,36,40,14.97,smoke
309,Ayagoz,KZ,47.9714,80.4392,54.25,42,25,4.85,scattered clouds
310,Phalaborwa,ZA,-23.943,31.1411,58.28,84,0,5.79,clear sky
311,Harrisonburg,US,38.4496,-78.8689,89.83,46,1,9.22,clear sky
312,Vila Franca Do Campo,PT,37.7167,-25.4333,70.21,88,9,5.68,clear sky
313,Georgiyevka,KZ,43.0369,74.7114,62.64,67,0,8.95,clear sky
314,Ponta Delgada,PT,37.7333,-25.6667,70.52,88,20,4.61,few clouds
315,Krasnoyarskiy,RU,51.965,59.8967,68.63,52,33,7.56,scattered clouds
316,Port Hawkesbury,CA,45.6169,-61.3485,67.95,97,90,4.0,overcast clouds
317,Sistranda,NO,63.7256,8.834,54.9,79,100,4.36,overcast clouds
318,Baijiantan,CN,45.6333,85.1833,74.7,34,100,16.6,overcast clouds
319,San Juan,AR,-31.5375,-68.5364,60.28,17,0,7.76,clear sky
320,Maniitsoq,GL,65.4167,-52.9,49.95,77,79,1.32,broken clouds
321,Puqi,CN,29.7167,113.8833,78.22,81,0,1.97,clear sky
322,Hailar,CN,49.2,119.7,64.18,95,94,6.24,overcast clouds
323,Buraydah,SA,26.326,43.975,88.25,12,48,8.72,scattered clouds
324,Inverell,AU,-29.7833,151.1167,51.15,80,0,5.99,clear sky
325,Sarangani,PH,5.4033,125.4636,83.8,76,77,9.8,broken clouds
326,Paita,PE,-5.0892,-81.1144,69.49,77,82,15.99,broken clouds
327,Fort-Shevchenko,KZ,44.5086,50.263,80.02,42,0,14.07,clear sky
328,Belaya Gora,RU,68.5333,146.4167,52.16,52,100,10.45,overcast clouds
329,Cravo Norte,CO,6.3017,-70.2041,78.46,85,61,5.97,broken clouds
330,Inhambane,MZ,-23.865,35.3833,65.52,72,0,9.44,clear sky
331,Greymouth,NZ,-42.4667,171.2,53.55,74,90,4.97,light rain
332,Ucluelet,CA,48.9329,-125.5528,98.1,74,24,1.01,few clouds
333,Muyezerskiy,RU,63.9333,31.65,52.95,96,76,5.26,broken clouds
334,Tangzhai,CN,34.4328,116.5911,75.79,95,5,6.06,light rain
335,Bac Lieu,VN,9.285,105.7244,78.98,87,100,10.6,overcast clouds
336,Flinders,AU,-34.5833,150.8552,58.05,59,51,1.01,broken clouds
337,Saint-Joseph,RE,-21.3667,55.6167,68.38,76,39,16.04,light rain
338,Manassas,US,38.751,-77.4753,89.55,40,75,8.05,broken clouds
339,Upington,ZA,-28.4478,21.2561,44.98,33,0,4.61,clear sky
340,Tecolutla,MX,20.4833,-97.0167,87.66,63,99,11.1,overcast clouds
341,Susanville,US,40.4163,-120.653,88.09,27,40,1.01,scattered clouds
342,Davila,PH,18.4726,120.5763,80.58,86,100,24.79,overcast clouds
343,Starosubkhangulovo,RU,53.1031,57.4423,60.03,92,47,1.03,scattered clouds
344,Kaupanger,NO,61.1845,7.2404,60.03,85,6,3.56,clear sky
